OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;Total;89 years;Total;2011Q1;3435
Region Hovedstaden;Total;89 years;Total;2015Q1;3360
Region Hovedstaden;Total;89 years;Total;2019Q1;3133
Region Hovedstaden;Total;89 years;Total;2022Q1;3363
Region Hovedstaden;Total;90 years;Total;2008Q1;2523
Region Hovedstaden;Total;90 years;Total;2011Q1;2953
Region Hovedstaden;Total;90 years;Total;2015Q1;2890
Region Hovedstaden;Total;90 years;Total;2019Q1;2810
Region Hovedstaden;Total;90 years;Total;2022Q1;2763
Region Hovedstaden;Total;91 years;Total;2008Q1;2140
Region Hovedstaden;Total;91 years;Total;2011Q1;2198
Region Hovedstaden;Total;91 years;Total;2015Q1;2446
Region Hovedstaden;Total;91 years;Total;2019Q1;2308
Region Hovedstaden;Total;91 years;Total;2022Q1;2292
Region Hovedstaden;Total;92 years;Total;2008Q1;1744
Region Hovedstaden;Total;92 years;Total;2011Q1;1881
Region Hovedstaden;Total;92 years;Total;2015Q1;1879
Region Hovedstaden;Total;92 years;Total;2019Q1;1979
Region Hovedstaden;Total;92 years;Total;2022Q1;1824
Region Hovedstaden;Total;93 years;Total;2008Q1;1446
Region Hovedstaden;Total;93 years;Total;2011Q1;1340
Region Hovedstaden;Total;93 years;Total;2015Q1;1672
Region Hovedstaden;Total;93 years;Total;2019Q1;1581
Region Hovedstaden;Total;93 years;Total;2022Q1;1595
Region Hovedstaden;Total;94 years;Total;2008Q1;1077
Region Hovedstaden;Total;94 years;Total;2011Q1;1082
Region Hovedstaden;Total;94 years;Total;2015Q1;1308
Region Hovedstaden;Total;94 years;Total;2019Q1;1303
Region Hovedstaden;Total;94 years;Total;2022Q1;1215
Region Hovedstaden;Total;95 years;Total;2008Q1;840
Region Hovedstaden;Total;95 years;Total;2011Q1;781
Region Hovedstaden;Total;95 years;Total;2015Q1;923
Region Hovedstaden;Total;95 years;Total;2019Q1;953
Region Hovedstaden;Total;95 years;Total;2022Q1;969
Region Hovedstaden;Total;96 years;Total;2008Q1;539
Region Hovedstaden;Total;96 years;Total;2011Q1;615
Region Hovedstaden;Total;96 years;Total;2015Q1;675
Region Hovedstaden;Total;96 years;Total;2019Q1;638
Region Hovedstaden;Total;96 years;Total;2022Q1;722
Region Hovedstaden;Total;97 years;Total;2008Q1;426
Region Hovedstaden;Total;97 years;Total;2011Q1;384
Region Hovedstaden;Total;97 years;Total;2015Q1;463
Region Hovedstaden;Total;97 years;Total;2019Q1;552
Region Hovedstaden;Total;97 years;Total;2022Q1;567
Region Hovedstaden;Total;98 years;Total;2008Q1;290
Region Hovedstaden;Total;98 years;Total;2011Q1;320
Region Hovedstaden;Total;98 years;Total;2015Q1;356
Region Hovedstaden;Total;98 years;Total;2019Q1;391
Region Hovedstaden;Total;98 years;Total;2022Q1;376
Region Hovedstaden;Total;99 years;Total;2008Q1;172
Region Hovedstaden;Total;99 years;Total;2011Q1;178
Region Hovedstaden;Total;99 years;Total;2015Q1;203
Region Hovedstaden;Total;99 years;Total;2019Q1;259
Region Hovedstaden;Total;99 years;Total;2022Q1;212
Region Hovedstaden;Total;100 years;Total;2008Q1;109
Region Hovedstaden;Total;100 years;Total;2011Q1;109
Region Hovedstaden;Total;100 years;Total;2015Q1;123
Region Hovedstaden;Total;100 years;Total;2019Q1;162
Region Hovedstaden;Total;100 years;Total;2022Q1;176
Region Hovedstaden;Total;101 years;Total;2008Q1;67
Region Hovedstaden;Total;101 years;Total;2011Q1;79
Region Hovedstaden;Total;101 years;Total;2015Q1;70
Region Hovedstaden;Total;101 years;Total;2019Q1;72
Region Hovedstaden;Total;101 years;Total;2022Q1;108
Region Hovedstaden;Total;102 years;Total;2008Q1;40
Region Hovedstaden;Total;102 years;Total;2011Q1;44
Region Hovedstaden;Total;102 years;Total;2015Q1;61
Region Hovedstaden;Total;102 years;Total;2019Q1;68
Region Hovedstaden;Total;102 years;Total;2022Q1;55
Region Hovedstaden;Total;103 years;Total;2008Q1;17
Region Hovedstaden;Total;103 years;Total;2011Q1;25
Region Hovedstaden;Total;103 years;Total;2015Q1;28
Region Hovedstaden;Total;103 years;Total;2019Q1;36
Region Hovedstaden;Total;103 years;Total;2022Q1;38
Region Hovedstaden;Total;104 years;Total;2008Q1;12
Region Hovedstaden;Total;104 years;Total;2011Q1;16
Region Hovedstaden;Total;104 years;Total;2015Q1;13
Region Hovedstaden;Total;104 years;Total;2019Q1;17
Region Hovedstaden;Total;104 years;Total;2022Q1;13
Region Hovedstaden;Total;105 years;Total;2008Q1;5
Region Hovedstaden;Total;105 years;Total;2011Q1;4
Region Hovedstaden;Total;105 years;Total;2015Q1;12
Region Hovedstaden;Total;105 years;Total;2019Q1;8
Region Hovedstaden;Total;105 years;Total;2022Q1;13
Region Hovedstaden;Total;106 years;Total;2008Q1;3
Region Hovedstaden;Total;106 years;Total;2011Q1;2
Region Hovedstaden;Total;106 years;Total;2015Q1;5
Region Hovedstaden;Total;106 years;Total;2019Q1;12
Region Hovedstaden;Total;106 years;Total;2022Q1;7
Region Hovedstaden;Total;107 years;Total;2008Q1;0
Region Hovedstaden;Total;107 years;Total;2011Q1;4
Region Hovedstaden;Total;107 years;Total;2015Q1;0
Region Hovedstaden;Total;107 years;Total;2019Q1;0
Region Hovedstaden;Total;107 years;Total;2022Q1;1
Region Hovedstaden;Total;108 years;Total;2008Q1;0
Region Hovedstaden;Total;108 years;Total;2011Q1;0
Region Hovedstaden;Total;108 years;Total;2015Q1;2
Region Hovedstaden;Total;108 years;Total;2019Q1;1
