BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Rebild;Total;Total;Age, total;Total;2022;20234
Thisted;Total;Total;Age, total;Total;2008;31633
Thisted;Total;Total;Age, total;Total;2011;31299
Thisted;Total;Total;Age, total;Total;2015;30234
Thisted;Total;Total;Age, total;Total;2019;29050
Thisted;Total;Total;Age, total;Total;2022;28674
Vesthimmerlands;Total;Total;Age, total;Total;2008;26522
Vesthimmerlands;Total;Total;Age, total;Total;2011;25925
Vesthimmerlands;Total;Total;Age, total;Total;2015;25496
Vesthimmerlands;Total;Total;Age, total;Total;2019;24582
Vesthimmerlands;Total;Total;Age, total;Total;2022;24035
Aalborg;Total;Total;Age, total;Total;2008;142461
Aalborg;Total;Total;Age, total;Total;2011;146765
