VALRES;OMRÅDE;TID;INDHOLD
A. The Social Democratic Party;Herlev;2007;5437
A. The Social Democratic Party;Herlev;2011;5143
A. The Social Democratic Party;Herlev;2015;5610
A. The Social Democratic Party;Herlev;2019;5306
A. The Social Democratic Party;Herlev;2022;5336
A. The Social Democratic Party;Hvidovre;2007;9371
A. The Social Democratic Party;Hvidovre;2011;8886
A. The Social Democratic Party;Hvidovre;2015;9738
A. The Social Democratic Party;Hvidovre;2019;8886
A. The Social Democratic Party;Hvidovre;2022;9335
A. The Social Democratic Party;Høje-Taastrup;2007;7894
A. The Social Democratic Party;Høje-Taastrup;2011;7728
A. The Social Democratic Party;Høje-Taastrup;2015;7860
A. The Social Democratic Party;Høje-Taastrup;2019;7248
A. The Social Democratic Party;Høje-Taastrup;2022;7745
A. The Social Democratic Party;Ishøj;2007;3538
A. The Social Democratic Party;Ishøj;2011;3530
A. The Social Democratic Party;Ishøj;2015;3612
A. The Social Democratic Party;Ishøj;2019;3224
A. The Social Democratic Party;Ishøj;2022;3242
A. The Social Democratic Party;Lyngby-Taarbæk;2007;6782
A. The Social Democratic Party;Lyngby-Taarbæk;2011;6141
A. The Social Democratic Party;Lyngby-Taarbæk;2015;7904
A. The Social Democratic Party;Lyngby-Taarbæk;2019;6131
A. The Social Democratic Party;Lyngby-Taarbæk;2022;6551
A. The Social Democratic Party;Rødovre;2007;7607
A. The Social Democratic Party;Rødovre;2011;7270
A. The Social Democratic Party;Rødovre;2015;7590
A. The Social Democratic Party;Rødovre;2019;7241
A. The Social Democratic Party;Rødovre;2022;7494
A. The Social Democratic Party;Vallensbæk;2007;1886
A. The Social Democratic Party;Vallensbæk;2011;1991
A. The Social Democratic Party;Vallensbæk;2015;2401
A. The Social Democratic Party;Vallensbæk;2019;2272
A. The Social Democratic Party;Vallensbæk;2022;2302
A. The Social Democratic Party;Allerød;2007;2488
A. The Social Democratic Party;Allerød;2011;2414
A. The Social Democratic Party;Allerød;2015;3450
A. The Social Democratic Party;Allerød;2019;3079
A. The Social Democratic Party;Allerød;2022;3402
A. The Social Democratic Party;Egedal;2007;5543
A. The Social Democratic Party;Egedal;2011;5663
A. The Social Democratic Party;Egedal;2015;6778
A. The Social Democratic Party;Egedal;2019;6730
A. The Social Democratic Party;Egedal;2022;7604
A. The Social Democratic Party;Fredensborg;2007;4654
A. The Social Democratic Party;Fredensborg;2011;4281
A. The Social Democratic Party;Fredensborg;2015;5139
A. The Social Democratic Party;Fredensborg;2019;4802
A. The Social Democratic Party;Fredensborg;2022;5437
A. The Social Democratic Party;Frederikssund;2007;7005
A. The Social Democratic Party;Frederikssund;2011;6457
A. The Social Democratic Party;Frederikssund;2015;7251
A. The Social Democratic Party;Frederikssund;2019;7548
A. The Social Democratic Party;Frederikssund;2022;8529
A. The Social Democratic Party;Furesø;2007;4611
A. The Social Democratic Party;Furesø;2011;4419
A. The Social Democratic Party;Furesø;2015;5923
A. The Social Democratic Party;Furesø;2019;4971
A. The Social Democratic Party;Furesø;2022;5960
A. The Social Democratic Party;Gribskov;2007;5166
A. The Social Democratic Party;Gribskov;2011;4799
A. The Social Democratic Party;Gribskov;2015;5541
A. The Social Democratic Party;Gribskov;2019;5782
A. The Social Democratic Party;Gribskov;2022;6499
A. The Social Democratic Party;Halsnæs;2007;5274
A. The Social Democratic Party;Halsnæs;2011;5073
A. The Social Democratic Party;Halsnæs;2015;5519
A. The Social Democratic Party;Halsnæs;2019;5650
A. The Social Democratic Party;Halsnæs;2022;6539
A. The Social Democratic Party;Helsingør;2007;9523
A. The Social Democratic Party;Helsingør;2011;9092
A. The Social Democratic Party;Helsingør;2015;9688
A. The Social Democratic Party;Helsingør;2019;9520
A. The Social Democratic Party;Helsingør;2022;10702
A. The Social Democratic Party;Hillerød;2007;7095
A. The Social Democratic Party;Hillerød;2011;6190
A. The Social Democratic Party;Hillerød;2015;7348
A. The Social Democratic Party;Hillerød;2019;7349
A. The Social Democratic Party;Hillerød;2022;7771
A. The Social Democratic Party;Hørsholm;2007;1872
A. The Social Democratic Party;Hørsholm;2011;1700
A. The Social Democratic Party;Hørsholm;2015;2384
A. The Social Democratic Party;Hørsholm;2019;1869
A. The Social Democratic Party;Hørsholm;2022;2151
A. The Social Democratic Party;Rudersdal;2007;4630
A. The Social Democratic Party;Rudersdal;2011;4094
A. The Social Democratic Party;Rudersdal;2015;5801
A. The Social Democratic Party;Rudersdal;2019;4501
A. The Social Democratic Party;Rudersdal;2022;5059
A. The Social Democratic Party;Bornholm;2007;9875
A. The Social Democratic Party;Bornholm;2011;9788
A. The Social Democratic Party;Bornholm;2015;8661
A. The Social Democratic Party;Bornholm;2019;8573
A. The Social Democratic Party;Bornholm;2022;8702
A. The Social Democratic Party;Christiansø;2007;13
A. The Social Democratic Party;Christiansø;2011;13
A. The Social Democratic Party;Christiansø;2015;22
A. The Social Democratic Party;Christiansø;2019;20
A. The Social Democratic Party;Christiansø;2022;19
A. The Social Democratic Party;Greve;2007;6577
A. The Social Democratic Party;Greve;2011;6102
A. The Social Democratic Party;Greve;2015;7377
A. The Social Democratic Party;Greve;2019;7504
A. The Social Democratic Party;Greve;2022;7755
A. The Social Democratic Party;Køge;2007;9283
A. The Social Democratic Party;Køge;2011;8309
A. The Social Democratic Party;Køge;2015;9517
