VALRES;OMRÅDE;TID;INDHOLD
A. The Social Democratic Party;Rudersdal;2015;16.5
A. The Social Democratic Party;Rudersdal;2019;12.8
A. The Social Democratic Party;Rudersdal;2022;14.2
A. The Social Democratic Party;Bornholm;2007;35.4
A. The Social Democratic Party;Bornholm;2011;35.9
A. The Social Democratic Party;Bornholm;2015;33.4
A. The Social Democratic Party;Bornholm;2019;34.0
A. The Social Democratic Party;Bornholm;2022;35.3
A. The Social Democratic Party;Christiansø;2007;19.7
A. The Social Democratic Party;Christiansø;2011;21.0
A. The Social Democratic Party;Christiansø;2015;40.0
A. The Social Democratic Party;Christiansø;2019;35.7
A. The Social Democratic Party;Christiansø;2022;32.2
A. The Social Democratic Party;Greve;2007;21.9
A. The Social Democratic Party;Greve;2011;20.0
A. The Social Democratic Party;Greve;2015;24.3
A. The Social Democratic Party;Greve;2019;24.7
A. The Social Democratic Party;Greve;2022;26.3
A. The Social Democratic Party;Køge;2007;26.0
A. The Social Democratic Party;Køge;2011;22.8
A. The Social Democratic Party;Køge;2015;25.6
A. The Social Democratic Party;Køge;2019;22.8
A. The Social Democratic Party;Køge;2022;25.3
A. The Social Democratic Party;Lejre;2007;22.0
A. The Social Democratic Party;Lejre;2011;19.1
A. The Social Democratic Party;Lejre;2015;23.8
A. The Social Democratic Party;Lejre;2019;22.5
A. The Social Democratic Party;Lejre;2022;24.1
A. The Social Democratic Party;Roskilde;2007;23.4
A. The Social Democratic Party;Roskilde;2011;21.4
A. The Social Democratic Party;Roskilde;2015;26.0
A. The Social Democratic Party;Roskilde;2019;23.8
A. The Social Democratic Party;Roskilde;2022;25.0
A. The Social Democratic Party;Solrød;2007;19.6
A. The Social Democratic Party;Solrød;2011;18.6
A. The Social Democratic Party;Solrød;2015;22.9
A. The Social Democratic Party;Solrød;2019;21.3
A. The Social Democratic Party;Solrød;2022;23.2
A. The Social Democratic Party;Faxe;2007;24.1
A. The Social Democratic Party;Faxe;2011;23.3
A. The Social Democratic Party;Faxe;2015;25.1
A. The Social Democratic Party;Faxe;2019;27.7
A. The Social Democratic Party;Faxe;2022;30.0
A. The Social Democratic Party;Guldborgsund;2007;30.7
A. The Social Democratic Party;Guldborgsund;2011;31.7
A. The Social Democratic Party;Guldborgsund;2015;31.9
A. The Social Democratic Party;Guldborgsund;2019;34.2
A. The Social Democratic Party;Guldborgsund;2022;36.2
A. The Social Democratic Party;Holbæk;2007;25.5
A. The Social Democratic Party;Holbæk;2011;25.9
A. The Social Democratic Party;Holbæk;2015;28.0
A. The Social Democratic Party;Holbæk;2019;29.1
A. The Social Democratic Party;Holbæk;2022;31.2
A. The Social Democratic Party;Kalundborg;2007;24.5
A. The Social Democratic Party;Kalundborg;2011;24.9
A. The Social Democratic Party;Kalundborg;2015;26.6
A. The Social Democratic Party;Kalundborg;2019;28.3
A. The Social Democratic Party;Kalundborg;2022;31.0
A. The Social Democratic Party;Lolland;2007;25.5
A. The Social Democratic Party;Lolland;2011;31.2
A. The Social Democratic Party;Lolland;2015;35.6
A. The Social Democratic Party;Lolland;2019;39.9
A. The Social Democratic Party;Lolland;2022;43.6
A. The Social Democratic Party;Næstved;2007;29.4
A. The Social Democratic Party;Næstved;2011;28.8
A. The Social Democratic Party;Næstved;2015;32.9
A. The Social Democratic Party;Næstved;2019;33.7
A. The Social Democratic Party;Næstved;2022;32.8
A. The Social Democratic Party;Odsherred;2007;24.7
A. The Social Democratic Party;Odsherred;2011;25.2
A. The Social Democratic Party;Odsherred;2015;28.7
A. The Social Democratic Party;Odsherred;2019;30.4
A. The Social Democratic Party;Odsherred;2022;33.5
A. The Social Democratic Party;Ringsted;2007;25.9
A. The Social Democratic Party;Ringsted;2011;24.8
A. The Social Democratic Party;Ringsted;2015;26.3
A. The Social Democratic Party;Ringsted;2019;25.7
A. The Social Democratic Party;Ringsted;2022;27.4
A. The Social Democratic Party;Slagelse;2007;26.0
A. The Social Democratic Party;Slagelse;2011;25.7
A. The Social Democratic Party;Slagelse;2015;27.4
A. The Social Democratic Party;Slagelse;2019;28.0
A. The Social Democratic Party;Slagelse;2022;31.9
A. The Social Democratic Party;Sorø;2007;24.3
A. The Social Democratic Party;Sorø;2011;23.8
A. The Social Democratic Party;Sorø;2015;25.7
